,Unnamed: 0,0,token_text
20,20,我用了一個隔天起來竟然滲過去啊啊啊超驚恐不是側漏是有貼好的地方滲過去了雖然只有一點點啦不過涼涼的真的蠻特別的放衣櫥結果滿滿薄荷味,"['我', '用', '了', '一', '個', '隔天', '起來', '竟然', '滲過去', '啊', '啊', '啊', '超', '驚恐', '不', '是', '側漏', '是', '有', '貼好', '的', '地方', '滲過去', '了', '雖然', '只', '有', '一點點', '啦', '不過', '涼涼', '的', '真的', '蠻', '特別', '的', '放衣櫥', '結果', '滿滿', '薄荷味']"
21,21,其實如果有轉到的應該可以開一篇文搜集一下說,"['其實', '如果', '有', '轉到', '的', '應該', '可以', '開', '一', '篇', '文', '搜集', '一下', '說']"
22,22,搜尋到的都很零散而且不多覺得可以開一篇文整理包含冷知識扭蛋紙的文章,"['搜尋到', '的', '都', '很', '零散', '而且', '不', '多', '覺得', '可以', '開', '一', '篇', '文', '整理', '包含', '冷', '知識', '扭蛋紙', '的', '文章']"
23,23,這活動是幹嘛的,"['這', '活動', '是', '幹嘛', '的']"
24,24,別再辦了吧要辦就辦到最好辦個半調子惹民怨,"['別', '再', '辦', '了', '吧', '要', '辦', '就', '辦到', '最好', '辦', '個', '半調子', '惹', '民怨']"
25,25,真的去了覺得葉味好重有特色的地方沒幾個要送東西也不送的乾脆一點工作人員的素質要提升一問三不知,"['真的', '去', '了', '覺得', '葉味', '好', '重', '有', '特色', '的', '地方', '沒', '幾', '個', '要', '送', '東西', '也', '不', '送', '的', '乾脆', '一點', '工作', '人員', '的', '素質', '要', '提升', '一', '問', '三', '不', '知']"
26,26,不要這樣說腦粉們會生氣氣喔還是繼續辦我看看他們可以消耗多久腦粉的愛才沒人要去,"['不要', '這樣', '說', '腦粉', '們', '會', '生氣氣', '喔', '還是', '繼續', '辦', '我', '看看', '他們', '可以', '消耗', '多久', '腦粉', '的', '愛', '才', '沒', '人', '要', '去']"
27,27,好喔我還是覺得午夜實驗室問題那篇比較好,"['好', '喔', '我', '還是', '覺得', '午夜', '實驗室', '問題', '那', '篇', '比較', '好']"
28,28,請說中文,"['請', '說', '中文']"
29,29,外國人你那裡過得去我卡在身份證呢,"['外國人', '你', '那裡', '過得去', '我', '卡在', '身份證', '呢']"
30,30,分不清楚先噓,"['分', '不', '清楚', '先', '噓']"
31,31,我腦中想的是但是身體不自覺打已經更改惹,"['我', '腦', '中', '想', '的', '是', '但是', '身體', '不自覺', '打', '已經', '更改', '惹']"
32,32,問題是那些廠商要來嗎有手機業者就不錯了,"['問題', '是', '那些', '廠商', '要', '來', '嗎', '有', '手機', '業者', '就', '不錯', '了']"
33,33,其實現在化妝的男生也蠻多的,"['其實', '現在', '化妝', '的', '男生', '也', '蠻', '多', '的']"
34,34,可以孝敬媽媽,"['可以', '孝敬', '媽媽']"
35,35,拿去追你喜歡女孩,"['拿去', '追', '你', '喜歡', '女孩']"
36,36,醜男送化妝品被打槍,"['醜男', '送', '化妝品', '被', '打', '槍']"
37,37,嗚公分睡覺不翻身還是露的,"['嗚', '公分', '睡覺', '不', '翻身', '還是', '露', '的']"
38,38,妳可以試試墊兩塊不然聽說液體衛生棉挺可以的,"['妳', '可以', '試試', '墊', '兩', '塊', '不然', '聽說', '液體', '衛生棉', '挺', '可以', '的']"
39,39,上下各一個嗎感覺變超長怕從縫隙流出來,"['上下', '各', '一', '個', '嗎', '感覺', '變', '超', '長怕', '從', '縫隙', '流出來']"
40,40,我都用一塊大的先貼直的然後再用一塊中的貼橫的貼在翅膀的起點,"['我', '都', '用', '一', '塊', '大', '的', '先', '貼直', '的', '然後', '再', '用', '一', '塊', '中', '的', '貼橫', '的', '貼', '在', '翅膀', '的', '起點']"
41,41,通常涼感衛生棉外包裝旁邊好像會有那種可重複黏貼的開口耶好像不是這樣撕的哈哈,"['通常', '涼感', '衛生棉', '外', '包裝', '旁邊', '好像', '會', '有', '那', '種', '可', '重複', '黏貼', '的', '開口', '耶', '好像', '不', '是', '這樣', '撕', '的', '哈哈']"
42,42,推一個液體衛生棉超吸,"['推', '一', '個', '液體', '衛生棉', '超吸']"
43,43,哇我找到了太感恩你了他做的太好我都沒有發現到除了這包之後的都可以美美了,"['哇', '我', '找到', '了', '太', '感恩', '你', '了', '他', '做', '的', '太', '好', '我', '都', '沒有', '發現到', '除了', '這', '包', '之後', '的', '都', '可以', '美美', '了']"
44,44,我也是用上下各一片黏但建議前面那片要在上面不然我上次沒黏好一樣從中間縫縫流出來,"['我', '也', '是', '用', '上下', '各', '一', '片', '黏', '但', '建議', '前面', '那', '片', '要', '在', '上面', '不然', '我', '上', '次', '沒', '黏好', '一樣', '從', '中間', '縫縫', '流出來']"
45,45,我的還沒拆,"['我', '的', '還', '沒', '拆']"
46,46,幸好我抽到代幣,"['幸好', '我', '抽到', '代幣']"
47,47,謝謝那時候有有活動嗎還是只有販賣周邊而已,"['謝謝', '那', '時候', '有', '有', '活動', '嗎', '還是', '只有', '販賣', '周邊', '而已']"
48,48,有活動啊草地遊樂場,"['有', '活動', '啊', '草地', '遊樂場']"
49,49,我進去也是,"['我', '進去', '也', '是']"
50,50,沒有欸像我也一個人並沒有感受你說的但我在排電流時後的女孩有想要照顧我的感受願意跟我玩供你參考一下其實世界沒這麼可怕,"['沒有', '欸', '像', '我', '也', '一', '個', '人', '並', '沒有', '感受', '你', '說', '的', '但', '我', '在', '排', '電流', '時', '後', '的', '女孩', '有', '想要', '照顧', '我', '的', '感受', '願意', '跟', '我', '玩', '供', '你', '參考', '一下', '其實', '世界', '沒', '這麼', '可怕']"
51,51,就一個霸凌邊緣人的活動,"['就', '一', '個', '霸凌', '邊緣人', '的', '活動']"
52,52,真的假的我全都扭到冷知識然後丟了,"['真的', '假', '的', '我', '全', '都', '扭到', '冷', '知識', '然後', '丟', '了']"
53,53,冷知識不能換吧現場的人員跟我講說那個沒有獎品,"['冷', '知識', '不能', '換', '吧', '現場', '的', '人員', '跟', '我', '講', '說', '那', '個', '沒有', '獎品']"
54,54,最後他散場的時候小知識也可以換,"['最後', '他', '散場', '的', '時候', '小', '知識', '也', '可以', '換']"
55,55,冷知識我第一天換到很多卸妝水真的好像很多人不知道,"['冷', '知識', '我', '第一', '天', '換到', '很多', '卸妝水', '真的', '好像', '很多', '人', '不', '知道']"
56,56,我早上場的扭到三個冷知識交給工作人員她說冷知識就沒有禮物囉然後直接收走也沒辦法做紀念到底,"['我', '早上場', '的', '扭到', '三', '個', '冷', '知識', '交給', '工作', '人員', '她', '說', '冷知識', '就', '沒有', '禮物', '囉', '然後', '直接', '收走', '也', '沒辦法', '做', '紀念', '到底']"
57,57,我全部冷知識全部卸妝水耶,"['我', '全部', '冷', '知識', '全部', '卸妝水', '耶']"
58,58,我也是被工作人員告知那不能換獎品我還有抽到整個都是空的扭蛋,"['我', '也', '是', '被', '工作', '人員', '告知', '那', '不能', '換', '獎品', '我', '還', '有', '抽到', '整', '個', '都', '是', '空', '的', '扭蛋']"
59,59,空的是可以換的冷知識我就直接還他了原來可以換,"['空', '的', '是', '可以', '換', '的', '冷', '知識', '我', '就', '直接', '還', '他', '了', '原來', '可以', '換']"
60,60,哈哈哈我直接走人欸可以換喔,"['哈哈哈', '我', '直接', '走人', '欸', '可以', '換', '喔']"
61,61,我是三點的過程跟你一樣只是他沒有收走,"['我', '是', '三', '點', '的', '過程', '跟', '你', '一樣', '只是', '他', '沒有', '收走']"
62,62,我冷知識也沒有換,"['我', '冷', '知識', '也', '沒有', '換']"
63,63,可是我是號晚上點的連空殼都可以換啊,"['可是', '我', '是', '號', '晚上', '點', '的', '連', '空殼', '都', '可以', '換', '啊']"
64,64,那可能晚上又改了吧一天改好幾次規則真的是很,"['那', '可能', '晚上', '又', '改', '了', '吧', '一', '天', '改', '好幾', '次', '規則', '真的', '是', '很']"
65,65,我也下午五點出來抽到四張冷知識都說不能換東西,"['我', '也', '下午', '五點', '出來', '抽到', '四', '張', '冷', '知識', '都', '說', '不能', '換', '東西']"
66,66,第一天冷知識可以換卸妝水沒有空殼第二天早上是空殼可以換冷知識沒有下午空殼有畫記號的才能換晚上冷知識畫記號的可以換空殼不行沒有一套標準做法很搞笑,"['第一', '天', '冷知識', '可以', '換', '卸妝水', '沒有', '空殼', '第二', '天', '早上', '是', '空殼', '可以', '換', '冷', '知識', '沒有', '下午', '空殼', '有', '畫', '記號', '的', '才', '能', '換', '晚上', '冷', '知識', '畫', '記號', '的', '可以', '換', '空殼', '不行', '沒有', '一', '套', '標準', '做法', '很', '搞笑']"
67,67,下午場乾我枚代幣去扭個冷知識個兩天試用包超雖小我同學說冷知識可以直接丟了,"['下午場', '乾', '我', '枚', '代幣', '去', '扭', '個', '冷', '知識', '個', '兩', '天', '試用', '包超', '雖', '小我', '同學', '說', '冷', '知識', '可以', '直接', '丟', '了']"
68,68,你好衰,"['你', '好', '衰']"
69,69,只能說你們太晚進去人家大概想著收攤了一整天下來蠻累的下午進去沒什麼感覺,"['只', '能', '說', '你們', '太晚', '進去', '人家', '大概', '想', '著', '收攤', '了', '一', '整', '天', '下來', '蠻', '累', '的', '下午', '進去', '沒', '什麼', '感覺']"
70,70,調酒師真的帥,"['調酒師', '真的', '帥']"
71,71,這只有廠商才能有所改變吧但是有替代方法嗎目前看到試用品都是這個形態,"['這', '只有', '廠商', '才', '能', '有所', '改變', '吧', '但是', '有', '替代', '方法', '嗎', '目前', '看到', '試用品', '都', '是', '這', '個', '形態']"
72,72,要別人改又不說怎麼改還想去拿那些東西又想環境友善送大罐就有比較環保嗎,"['要', '別人', '改', '又', '不', '說', '怎麼', '改', '還', '想', '去', '拿', '那些', '東西', '又', '想', '環境', '友善', '送', '大', '罐', '就', '有', '比較', '環保', '嗎']"
73,73,這篇文超掃興的,"['這', '篇', '文', '超', '掃興', '的']"
74,74,這是廠商既有的試用品贊助又不是專為午夜活動訂製哪來的不環保之說呢,"['這', '是', '廠商', '既有', '的', '試用品', '贊助', '又', '不', '是', '專', '為', '午夜', '活動', '訂製', '哪來', '的', '不', '環保', '之', '說', '呢']"
75,75,洗掉了,"['洗掉', '了']"
76,76,簽,['簽']
77,77,如果還有一點點也可以加入行列收到感覺是反光分之一消失了圖案的嘴巴好像怪怪的那扇子是早鳥才有的嗎,"['如果', '還', '有', '一點點', '也', '可以', '加入', '行列', '收到', '感覺', '是', '反光分', '之', '一', '消失', '了', '圖案', '的', '嘴巴', '好像', '怪怪', '的', '那', '扇子', '是', '早', '鳥', '才', '有', '的', '嗎']"
78,78,我不清楚耶,"['我', '不', '清楚', '耶']"
79,79,隨處發吧,"['隨處', '發', '吧']"
80,80,我今天有看到你們這群人耶,"['我', '今天', '有', '看到', '你們', '這', '群', '人', '耶']"
81,81,讚讚運氣不好飄過,"['讚讚', '運氣', '不', '好', '飄過']"
82,82,可惡我一個都沒有,"['可惡', '我', '一', '個', '都', '沒有']"
83,83,這裡也想要藍色袋子求收,"['這裡', '也', '想要', '藍色', '袋子', '求', '收']"
84,84,我也有看到你們超羨慕你們有藍色袋子,"['我', '也', '有', '看到', '你們', '超', '羨慕', '你們', '有', '藍色', '袋子']"
85,85,也太好了一個都沒有,"['也', '太', '好', '了', '一', '個', '都', '沒有']"
86,86,日冠王在這想認識的趕快來哈哈哈,"['日冠王', '在', '這', '想', '認識', '的', '趕快', '來', '哈哈', '哈']"
87,87,男友表示就是跟工作人員聊天說玩第次的那個,"['男友', '表示', '就', '是', '跟', '工作', '人員', '聊天', '說', '玩', '第', '次', '的', '那', '個']"
88,88,可以給我嗎哈哈哈哈,"['可以', '給', '我', '嗎', '哈哈', '哈哈']"
89,89,超想要,['超想要']
90,90,拿到小籃袋的規定真的很奇怪有人拿到很多個卻有人一個也沒拿到,"['拿到', '小', '籃袋', '的', '規定', '真的', '很', '奇怪', '有', '人', '拿到', '很多', '個', '卻', '有', '人', '一', '個', '也', '沒', '拿到']"
91,91,其實他們也沒有違反當天的遊戲規則喔他們花時間換藍袋子是沒有問題的只是今年的遊戲規則就是只要不要離開場地就可以一直玩這樣真的對報名比較晚的閃光們不太公平而已,"['其實', '他們', '也', '沒有', '違反', '當天', '的', '遊戲', '規則', '喔', '他們', '花', '時間', '換', '藍', '袋子', '是', '沒有', '問題', '的', '只', '是', '今年', '的', '遊戲', '規則', '就', '是', '只要', '不要', '離開', '場地', '就', '可以', '一直', '玩', '這樣', '真的', '對', '報名', '比較', '晚', '的', '閃光', '們', '不', '太', '公平', '而已']"
92,92,早知道鼓起勇氣跟你們要一個,"['早', '知道', '鼓起', '勇氣', '跟', '你們', '要', '一', '個']"
93,93,我有啊哈哈哈,"['我', '有', '啊', '哈', '哈', '哈']"
94,94,給我被打,"['給', '我', '被', '打']"
95,95,走啊給你,"['走', '啊', '給', '你']"
96,96,嗚嗚我拿到一堆紙膠帶可是想要藍袋,"['嗚嗚', '我', '拿到', '一', '堆', '紙膠帶', '可是', '想要', '藍袋']"
97,97,送我,"['送', '我']"
98,98,果然還是女性福利時間嗚嗚嗚,"['果然', '還是', '女性', '福利', '時間', '嗚嗚', '嗚']"
99,99,求交換,"['求', '交換']"
100,100,也很難交換吧,"['也', '很', '難', '交換', '吧']"
101,101,給我嘛我們很近,"['給', '我', '嘛', '我們', '很', '近']"
102,102,那我們呢也近嗎,"['那', '我們', '呢', '也', '近', '嗎']"
103,103,羨慕想收購,"['羨慕', '想', '收購']"
104,104,給女友哈哈哈,"['給', '女友', '哈', '哈', '哈']"
105,105,請問女友報名處在哪,"['請問', '女友', '報名', '處在', '哪']"
106,106,我沒有女友阿,"['我', '沒有', '女友', '阿']"
107,107,可收購嗎,"['可', '收購', '嗎']"
108,108,辦抽獎,"['辦', '抽獎']"
109,109,收購我可以幫解決你的困擾,"['收購', '我', '可以', '幫', '解決', '你', '的', '困擾']"
110,110,我這裡也需要人幫忙都不用著,"['我', '這裡', '也', '需要', '人', '幫忙', '都', '不用', '著']"
111,111,我很樂意幫忙,"['我', '很', '樂意', '幫忙']"
112,112,好羨慕,"['好', '羨慕']"
113,113,我也可以幫忙,"['我', '也', '可以', '幫忙']"
114,114,我這裡還有兩袋需要關懷,"['我', '這裡', '還', '有', '兩', '袋', '需要', '關懷']"
115,115,怎麼關懷,"['怎麼', '關懷']"
116,116,前提是要先遇到我哈哈哈,"['前提', '是', '要', '先', '遇到', '我', '哈', '哈', '哈']"
117,117,夢裡相見是嗎,"['夢', '裡', '相見', '是', '嗎']"
118,118,現在捷運很方便啊,"['現在', '捷運', '很', '方便', '啊']"
119,119,我剛好在紅線可以關懷你哈哈,"['我', '剛好', '在', '紅', '線', '可以', '關懷', '你', '哈哈']"
120,120,我在臺中讀書不過蠻常回去臺北的,"['我', '在', '臺中', '讀書', '不過', '蠻', '常', '回去', '臺北', '的']"
121,121,可惜這裡不能換個資,"['可惜', '這裡', '不能', '換', '個', '資']"
122,122,還是有辦法的啦,"['還是', '有', '辦法', '的', '啦']"
123,123,我可以在捷運巧遇之類的哈哈哈,"['我', '可以', '在', '捷運', '巧遇', '之類', '的', '哈哈', '哈']"
124,124,妳有看過我嗎,"['妳', '有', '看', '過', '我', '嗎']"
125,125,只要有心人人都可以巧遇,"['只要', '有心', '人人', '都', '可以', '巧遇']"
126,126,那我明天拿藍袋到處晃,"['那', '我', '明天', '拿', '藍袋', '到處', '晃']"
127,127,可是紅線太長了啦哈哈至少給一個時間嘛哈哈,"['可是', '紅線', '太', '長', '了', '啦', '哈哈', '至少', '給', '一', '個', '時間', '嘛', '哈哈']"
128,128,明早大概八點十分左右會從民權往淡水這樣能遇到我服妳,"['明早', '大概', '八點', '十分', '左右', '會', '從', '民權', '往', '淡水', '這樣', '能', '遇到', '我', '服', '妳']"
129,129,太早了啦還在睡覺,"['太早', '了', '啦', '還', '在', '睡覺']"
130,130,我每天早出晚歸哈哈哈,"['我', '每', '天', '早', '出晚歸', '哈', '哈', '哈']"
131,131,我八點二十左右會在民權,"['我', '八點', '二十', '左右', '會', '在', '民權']"
132,132,我可以等你晚歸,"['我', '可以', '等', '你', '晚', '歸']"
133,133,大家好熱絡,"['大家', '好', '熱絡']"
134,134,我還有紙膠帶你要嗎哈哈,"['我', '還', '有', '紙膠帶', '你', '要', '嗎', '哈哈']"
135,135,我知道你還有哈哈哈想要,"['我', '知道', '你', '還', '有', '哈哈哈', '想要']"
136,136,看到我的機率吧聽起來好曖昧,"['看到', '我', '的', '機率', '吧', '聽起來', '好', '曖昧']"
137,137,你也可以在紅線上跟我巧遇啦哈哈,"['你', '也', '可以', '在', '紅線', '上', '跟', '我', '巧遇', '啦', '哈哈']"
138,138,很巧我每天北車淡水跑有機會的,"['很', '巧', '我', '每', '天', '北', '車', '淡水', '跑', '有', '機會', '的']"
139,139,是睡過頭嗎哈哈,"['是', '睡', '過', '頭', '嗎', '哈哈']"
140,140,我現在就在紅線上喔喔喔喔可是沒有帶紙膠帶就是了哈哈,"['我', '現在', '就', '在', '紅線', '上', '喔喔', '喔', '喔', '可是', '沒有', '帶', '紙', '膠帶', '就是了', '哈哈']"
141,141,同校的同學要不要一起出貨,"['同', '校', '的', '同學', '要不要', '一起', '出貨']"
142,142,那時候人潮很多哈哈哈,"['那', '時候', '人潮', '很多', '哈', '哈', '哈']"
143,143,還可以一起出貨可是我只有一個紙膠帶還是有人要那個杯子嗎,"['還可以', '一起', '出貨', '可是', '我', '只', '有', '一', '個', '紙', '膠帶', '還是', '有', '人', '要', '那', '個', '杯子', '嗎']"
144,144,我也是哦還好有位置坐,"['我', '也', '是', '哦', '還好', '有', '位置', '坐']"
145,145,我也有位子坐哈哈今天出門回家都坐到米奇車廂覺得幸福哈哈,"['我', '也', '有', '位子', '坐', '哈哈', '今天', '出門', '回家', '都', '坐到', '米奇', '車廂', '覺得', '幸福', '哈哈']"
146,146,恭喜拿到戰利品哈哈說明的很詳盡謝謝妳,"['恭喜', '拿到', '戰利品', '哈哈', '說明', '的', '很', '詳盡', '謝謝', '妳']"
147,147,不會唷,"['不會', '唷']"
148,148,我覺得你拿到的指甲油比較漂釀,"['我', '覺得', '你', '拿到', '的', '指甲油', '比較', '漂釀']"
149,149,已羨慕,"['已', '羨慕']"
150,150,你拿到什麼顏色姐姐沒抽到嗎,"['你', '拿到', '什麼', '顏色', '姐姐', '沒', '抽到', '嗎']"
151,151,我跟我男友各抽到一個小藍袋裡面的東西跟色號一模模一樣樣哈哈,"['我', '跟', '我', '男友', '各', '抽到', '一', '個', '小', '藍', '袋', '裡面', '的', '東西', '跟', '色號', '一', '模模一樣樣', '哈哈']"
152,152,有點難過我的裡面沒有理膚寶水,"['有點', '難過', '我', '的', '裡面', '沒有', '理', '膚', '寶水']"
153,153,理膚寶水是不在小藍袋裡的吧應該是要另外抽的我男友拿到三個空扭蛋換了三瓶卸妝潔膚水,"['理膚', '寶水', '是', '不', '在', '小', '藍袋', '裡', '的', '吧', '應該', '是', '要', '另外', '抽', '的', '我', '男友', '拿到', '三', '個', '空扭蛋', '換', '了', '三', '瓶', '卸妝', '潔膚', '水']"
154,154,我是看到這個有,"['我', '是', '看到', '這', '個', '有']"
155,155,再看了一下裡面的東西我覺得他們是把所有大家可能會拿到的贈品都放在一起像是防曬噴霧好像也是要參加哪個活動還是扭蛋才可以拿到的啊啊啊理膚寶水那個我在其他篇有看到感覺也是扭蛋抽到的不在小藍袋裡面哦,"['再', '看', '了', '一下', '裡面', '的', '東西', '我', '覺得', '他們', '是', '把', '所有', '大家', '可能', '會', '拿到', '的', '贈品', '都', '放', '在一起', '像是', '防曬', '噴霧', '好像', '也', '是', '要', '參加', '哪', '個', '活動', '還是', '扭蛋', '才', '可以', '拿到', '的', '啊', '啊', '啊', '理膚寶水', '那', '個', '我', '在', '其他', '篇', '有', '看到', '感覺', '也', '是', '扭蛋', '抽到', '的', '不', '在', '小', '藍', '袋', '裡面', '哦']"
156,156,我拿到紫紅色的,"['我', '拿到', '紫紅色', '的']"
157,157,哈哈恭喜你們也拿到了部分好像裡面有哦紫紅色感覺也很美呀,"['哈哈', '恭喜', '你們', '也', '拿到', '了', '部分', '好像', '裡面', '有', '哦', '紫紅色', '感覺', '也', '很', '美', '呀']"
158,158,你的藍袋怎麼那麼整齊我抽卡拿到的根本一坨不明物體哈哈哈哈,"['你', '的', '藍袋', '怎麼', '那麼', '整齊', '我', '抽', '卡', '拿到', '的', '根本', '一', '坨', '不明', '物體', '哈哈', '哈哈']"
159,159,其實是我自己整理的啦不然太亂看的心情很不好你拿到什麼,"['其實', '是', '我', '自己', '整理', '的', '啦不然', '太', '亂看', '的', '心情', '很', '不', '好', '你', '拿到', '什麼']"
160,160,哦哦原來是這樣哈哈我還沒整理欸昨天回家直接攤在床上腳實在太痛了哈哈等等下課回家再整理拍上來給妳看,"['哦', '哦', '原來', '是', '這樣', '哈哈', '我', '還', '沒', '整理', '欸', '昨天', '回家', '直接', '攤', '在', '床', '上', '腳', '實在', '太', '痛', '了', '哈哈', '等等', '下課', '回家', '再', '整理', '拍上來', '給', '妳', '看']"
161,161,好啊拿到的時候男友還以為是垃圾堆讓我更想要整理了不覺得整齊看起來比較舒服嗎,"['好', '啊', '拿到', '的', '時候', '男友', '還', '以為', '是', '垃圾堆', '讓', '我', '更', '想要', '整理', '了', '不', '覺得', '整齊', '看起來', '比較', '舒服', '嗎']"
162,162,真的超亂天哪可能講求速度隨便放我的是這些好像跟你一樣只是色號和長度不一樣我應該會把一些當揪團小禮物送出去哈哈,"['真的', '超亂天', '哪', '可能', '講求', '速度', '隨便', '放', '我', '的', '是', '這些', '好像', '跟', '你', '一樣', '只是', '色號', '和', '長度', '不', '一樣', '我', '應該', '會', '把', '一些', '當', '揪團', '小', '禮物', '送出去', '哈哈']"
163,163,你的指甲油好紅喔我覺得唇膏不錯用妳下面粉紅色我也有兩袋,"['你', '的', '指甲油', '好', '紅', '喔', '我', '覺得', '唇膏', '不錯', '用', '妳', '下面', '粉紅色', '我', '也', '有', '兩', '袋']"
164,164,超紅超搶眼的啦我不行應該會送出去我只有一袋另一袋是學弟施捨給我的哈哈,"['超紅', '超搶眼', '的', '啦', '我', '不行', '應該', '會', '送出去', '我', '只', '有', '一', '袋', '另', '一', '袋', '是', '學弟', '施捨', '給', '我', '的', '哈哈']"
165,165,我的很粉但我手指不白很不適合也不錯啊我是男友轉到的都歸我,"['我', '的', '很', '粉', '但', '我', '手指', '不', '白', '很', '不', '適合', '也', '不錯', '啊', '我', '是', '男友', '轉到', '的', '都', '歸', '我']"
166,166,需要閃光幫你要聯絡資料嗎,"['需要', '閃光', '幫', '你', '要', '聯絡', '資料', '嗎']"
167,167,我要第一天負責攝影的工作人員,"['我', '要', '第一', '天', '負責', '攝影', '的', '工作', '人員']"
168,168,第一天攝影有兩男一女你要哪個,"['第一', '天', '攝影', '有', '兩', '男', '一', '女', '你', '要', '哪', '個']"
169,169,昨天下午兩點在入口一進去綁馬尾的女性還有個短頭髮工作人員也不錯,"['昨天', '下午', '兩點', '在', '入口', '一', '進去', '綁馬尾', '的', '女性', '還', '有', '個', '短', '頭髮', '工作', '人員', '也', '不錯']"
170,170,可以問今天的攤位的漂亮姊姊嗎,"['可以', '問', '今天', '的', '攤位', '的', '漂亮', '姊姊', '嗎']"
171,171,可以要抽卡實驗室的男工作人員嗎,"['可以', '要', '抽', '卡', '實驗室', '的', '男', '工作', '人員', '嗎']"
172,172,找的就看得到他們的,"['找', '的', '就', '看', '得', '到', '他們', '的']"
173,173,祝大大每次上廁所都有衛生紙,"['祝', '大大', '每', '次', '上廁所', '都', '有', '衛生紙']"
174,174,我都自己帶不會有困擾,"['我', '都', '自己', '帶', '不會', '有', '困擾']"
175,175,我要我要不過會不會人家已經有女朋友了哈哈哈,"['我', '要', '我', '要不過', '會不會', '人家', '已經', '有', '女朋友', '了', '哈', '哈哈']"
176,176,可以求問的女工作人員嗎,"['可以', '求問', '的', '女', '工作', '人員', '嗎']"
177,177,閃光可以跟你求問球池排隊控管的男工作人員嗎哈哈哈哈哈,"['閃光', '可以', '跟', '你', '求問', '球池', '排隊', '控管', '的', '男', '工作', '人員', '嗎', '哈哈', '哈', '哈', '哈']"
178,178,漂亮姊姊的圖呢,"['漂亮', '姊姊', '的', '圖', '呢']"
179,179,如果原波不想要袋子有意願售出嗎我願意買我為了那個袋子去的轉了個拿了好多卸妝的,"['如果', '原', '波', '不', '想要', '袋子', '有', '意願', '售出', '嗎', '我', '願意', '買', '我', '為', '了', '那', '個', '袋子', '去', '的', '轉', '了', '個', '拿', '了', '好多', '卸妝', '的']"
180,180,我賣你哈哈,"['我', '賣', '你', '哈哈']"
181,181,真的嗎要賣我多少錢,"['真的', '嗎', '要', '賣', '我', '多少', '錢']"
182,182,你都上上籤了給你開個好數字,"['你', '都', '上上', '籤', '了', '給', '你', '開', '個', '好', '數字']"
183,183,那個已經一年前的是了哈哈哈說來聽聽我看看價格,"['那', '個', '已經', '一', '年', '前', '的', '是', '了', '哈哈哈', '說來', '聽聽', '我', '看看', '價格']"
184,184,一年也沒很久啊我不懂這些女性用品的價位你開啦哈哈單身狗用不到,"['一', '年', '也', '沒', '很', '久', '啊', '我', '不', '懂', '這些', '女性', '用品', '的', '價位', '你', '開', '啦', '哈哈', '單身', '狗', '用', '不', '到']"
185,185,哇那些東西加起來不便宜欸我可以單純買袋子嗎哈哈哈哈,"['哇', '那些', '東西', '加起來', '不', '便宜', '欸', '我', '可以', '單純', '買', '袋子', '嗎', '哈哈', '哈哈']"
186,186,私,['私']
187,187,母湯哦拜託別在我這邊搞事,"['母湯', '哦', '拜託', '別', '在', '我', '這邊', '搞', '事']"
188,188,哈哈哈應該不會被抓到啦,"['哈', '哈哈', '應該', '不會', '被', '抓到', '啦']"
